         nl   nt   nr   sr   st   sl   el   et   er   wr   wt   wl
 10476    0 1215    0    0 1810   96    0    0    0   37    0   55
 10764    0 1033  592    0  921    0    0    0    0   13    0 1323
 10881    0    0    0    0    0    0    0  924    0    0  156    0
 10974    0    0    0    0    0    0    0    0    0    0    0    0
 10981   64    2   95   27    3   17   39 2259   52   11 1461   36
 11015    0    0    0    0    0    0    0    0    0    0    0    0
 11020    0    0    0    0    0    0    0    0    0    0    0    0
 11042  422    0    0    0    0    0    0    0  332    0    0    0
 11047  190  388   11   79  431   44  113  103  340   48   83   98
 11148    0    0    0    0    0    0    0    0    0    0    0    0
 11199  109    0  418    0    0    0    0  508  188    0  286   50
 11218  156  425  286    9  117  251  194 1560   99    3 1270  187
 11252    0    0    0    0    0    0    0    0    0    0    0    0
 11323  588    0  233    0    0    0    0  253  230    0  449   54
 11482    0    0    0    0    0    0    0    0    0    0    0    0
 11558    0    0    0    0    0    0    0    0    0    0    0    0
 11562   21    9   48   58    4   12   35  741   23    9  441   42
 11566   96  739    0  240  792    0  252    0  144    0    0    0
 11582    0    0    0    0    0    0    0    0    0    0    0    0
 11641    0    0    0    0    0    0    0    0    0    0    0    0
 11646    0    0    0    0    0    0    0    0    0    0    0    0
 11647  245  976   28  274 1842   65  191   43  191   20   44   41
 11651    0    0    0    0    0    0    0    0    0    0    0    0
 11653    0    0    0    0    0    0    0    0    0    0    0    0
 11718    0    0    0    0    0    0    0    0    0    0    0    0
 11724   63 1157   71   91 1941  -15  382    7  423    9   19  149
 11732    0    0    0    0    0    0    0    0    0    0    0    0
 11733    0    0    0    0    0    0    0    0    0    0    0    0
 11735    0    0    0    0    0    0    0    0    0    0    0    0
 11745    0    0    0    0    0    0    0    0    0    0    0    0
 11756    0  988  448    0 1924   91    0    0    0   70    0  291
 11759    0    0    0    0    0    0    0    0    0    0    0    0
 11763    0    0    0    0    0    0    0    0    0    0    0    0
 11782    0    0    0    0    0    0    0    0    0    0    0    0
 11859    0    0    0    0    0    0    0    0    0    0    0    0
 11895    0    0    0    0    0    0    0    0    0    0    0    0
 11941    0    0    0    0    0    0    0    0    0    0    0    0
 11942    0    0    0    0    0    0    0    0    0    0    0    0
 11947    0    0    0    0    0    0    0    0    0    0    0    0
 11957   39  828   16   96 1090   86    1  403   38   59  295   15
 11987    0    0    0    0    0    0    0    0    0    0    0    0
 11992    0    0    0    0    0    0    0    0    0    0    0    0
 11999    0    0    0    0    0    0    0    0    0    0    0    0
 12000    0    0    0    0    0    0    0    0    0    0    0    0
 12007    0    0    0    0    0    0    0    0    0    0    0    0
 12017    0    0    0    0    0    0    0    0    0    0    0    0
 12019    0    0    0    0    0    0    0    0    0    0    0    0
 12020    0    0    0    0    0    0    0    0    0    0    0    0
 12025    0    0    0  416    0  156  518 1060    0  158  795    0
 12030    0    0    0  111    0   63  265 2646    0   40 1062    0
 12061   31    0  319    0    0    0    0    0   59    0    0   27
 12076    0    0    0    0    0    0    0    0    0    0    0    0
 12085  124  122   43  841   91  966 1199 2684  284  148  593  134
 12086    0    0    0  880    0  121  511   68    0   63   26    0
 12093    0    0    0    0    0    0    0    0    0    0    0    0
 12124    0    0    0    0    0    0    0    0    0    0    0    0
 12125    0    0    0    0    0    0    0    0    0    0    0    0
 12129    0    0    0    0    0    0    0    0    0    0    0    0
 12164    0    0    0    0    0    0    0    0    0    0    0    0
 12179  398    0  996    0    0    0    0  252  517    0  482  107
 12247    0    0    0    0    0    0    0    0    0    0    0    0
 12256    0    0    0    0    0    0    0    0    0    0    0    0
 12258    0    0    0    0    0    0    0    0    0    0    0    0
 13813    0    0    0    0    0    0    0    0    0    0    0    0
 16638   12   28   23  238   33   35   76  366   24    0  559   15
 16675    0    0    0    0    0    0    0    0    0    0    0    0
 16691   19 2220  136 1788 2054   -5   72  129  234  -83  961  145
 16701    0 1765   29    0 3493    5    0    0    0   77    0  499
