source_path,source_root,source_relative_path,suffix_chain,detected_format,decode_layers,decoder_path,decoder_method,status,expected_length,actual_bytes,eof_verified,source_size_bytes,source_sha256,output_path,output_relative_path,output_sha256,notes
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf8904e/plt.slect2.Z.z,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model,model_setup/bethesda_slate/rf8904e/plt.slect2.Z.z,".Z,.z",unix_pack_static_huffman,1,/Users/dlev2617/Documents/Code/Agents/tools/legacy-z-decoder/decode_legacy_z.py,internal_pack_static_huffman,failed,143245,0,no,142500,932d658294cceeb939bf1c0b9f217988c05d3e61044b66fcaf740536b806a470,,,,stage 1 unix_pack_static_huffman: failed: too many leaves in pack Huffman tree
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::code/legacy/model_setup/bethesda_slate/rf8904e/plt.vcr8904.Z,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model,code/legacy/model_setup/bethesda_slate/rf8904e/plt.vcr8904.Z,.Z,unix_compress_lzw,1,/Users/dlev2617/Documents/Code/Agents/tools/legacy-z-decoder/decode_legacy_z.py,internal_compress_lzw,partial,,133,no,477017,8aba54d6303923aaa4c01903877a3e77e49fda89f70b74ef5b111f2e147651f4,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/decoded_model_outputs/rf8904e/plt.vcr8904,data/decoded_model_outputs/rf8904e/plt.vcr8904,c3080c7bc7f6ef7ad27d8718547aa9a07d3c2c600cf99e58e74125c5532b5ca1,stage 1 unix_compress_lzw: partial: compress invalid code 446 with table end 354
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf8904e/plt.wis.8904.Z,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model,model_setup/bethesda_slate/rf8904e/plt.wis.8904.Z,.Z,unix_compress_lzw,1,/Users/dlev2617/Documents/Code/Agents/tools/legacy-z-decoder/decode_legacy_z.py,internal_compress_lzw,partial,,148,no,273761,686d2da2f88b6877dc45c3d40d36699da06fa41837cde934a4bad746d14b3e45,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/decoded_model_outputs/rf8904e/plt.wis.8904,data/decoded_model_outputs/rf8904e/plt.wis.8904,620d5d3bee1f2685860da463fb89c7d4e9b57ef2a197b8779feb9e9d979ab02c,stage 1 unix_compress_lzw: partial: compress invalid code 437 with table end 362
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf8904e/rep.521dd.Z,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model,model_setup/bethesda_slate/rf8904e/rep.521dd.Z,.Z,unix_compress_lzw,1,/Users/dlev2617/Documents/Code/Agents/tools/legacy-z-decoder/decode_legacy_z.py,internal_compress_lzw,partial,,2195,no,8725,2a85d0977005fe76d282b869fb60919ba60a3e9446efc00847195012ca3a66e5,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/decoded_model_outputs/rf8904e/rep.521dd,data/decoded_model_outputs/rf8904e/rep.521dd,9f702d52f2efb6d464f80bf718b970e16e7f40ce934a772364bb110c55619f49,stage 1 unix_compress_lzw: partial: compress invalid code 1731 with table end 1105
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf8904e/rep.611.Z,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model,model_setup/bethesda_slate/rf8904e/rep.611.Z,.Z,unix_compress_lzw,1,/Users/dlev2617/Documents/Code/Agents/tools/legacy-z-decoder/decode_legacy_z.py,internal_compress_lzw,partial,,985,no,101073,630b6bc2dd50f14b566da278b02a0d38bf99bac8a3ecf479faa59031f67491ad,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/decoded_model_outputs/rf8904e/rep.611,data/decoded_model_outputs/rf8904e/rep.611,b7c1726bae5ef425b9c50176696f2e5c08ec7e057aee59d306087b997dd3d636,stage 1 unix_compress_lzw: partial: compress invalid code 845 with table end 688
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf8904e/rep.critical.Z,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model,model_setup/bethesda_slate/rf8904e/rep.critical.Z,.Z,unix_compress_lzw,1,/Users/dlev2617/Documents/Code/Agents/tools/legacy-z-decoder/decode_legacy_z.py,internal_compress_lzw,partial,,2765,no,5511,25d9010137356c48aea97bb3fa465c9b3af6257988db984b739c98dfef7598ef,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/decoded_model_outputs/rf8904e/rep.critical,data/decoded_model_outputs/rf8904e/rep.critical,7db314d0258744714c786ecc02e097db58f76064a1136ebe07f367f0f9af5e0f,stage 1 unix_compress_lzw: partial: compress invalid code 1449 with table end 1039
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf8904e/rep.PAzone.Z,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model,model_setup/bethesda_slate/rf8904e/rep.PAzone.Z,.Z,unix_compress_lzw,1,/Users/dlev2617/Documents/Code/Agents/tools/legacy-z-decoder/decode_legacy_z.py,internal_compress_lzw,partial,,2145,no,681,554152365f264803d43b159b612d9ab75e18349d6a50dacd6647ac8bc80c375e,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/decoded_model_outputs/rf8904e/rep.PAzone,data/decoded_model_outputs/rf8904e/rep.PAzone,67cbdd6f4daa391b097e249663519663861889149fe0412dbb773500509d00bf,stage 1 unix_compress_lzw: partial: compress invalid code 882 with table end 696
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf8904e/rep.sigstat.Z,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model,model_setup/bethesda_slate/rf8904e/rep.sigstat.Z,.Z,unix_compress_lzw,1,/Users/dlev2617/Documents/Code/Agents/tools/legacy-z-decoder/decode_legacy_z.py,internal_compress_lzw,partial,,101,no,68523,cb1e2cfd257bc84ff52f4b65e9418cb9118cdf64bbd80bd52ffd3baab2118813,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/decoded_model_outputs/rf8904e/rep.sigstat,data/decoded_model_outputs/rf8904e/rep.sigstat,fd01859252048e06f6614349a460c90ec7cec2c8f5e39a446d1f93e5974bd8f4,stage 1 unix_compress_lzw: partial: compress invalid code 323 with table end 321
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf8904e/rep.sumtime1.Z,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model,model_setup/bethesda_slate/rf8904e/rep.sumtime1.Z,.Z,unix_compress_lzw,1,/Users/dlev2617/Documents/Code/Agents/tools/legacy-z-decoder/decode_legacy_z.py,internal_compress_lzw,complete,,1213,yes,653,67c8737e5699b325cbbc653c035b7e53938462fe4ce4bcc751e220015f418734,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/decoded_model_outputs/rf8904e/rep.sumtime1,data/decoded_model_outputs/rf8904e/rep.sumtime1,bf2c745b69c0ba9d87c51c1b23fb8643af2a1eefa2aa37391a2fa963ef9ece6a,stage 1 unix_compress_lzw: complete: compress stream reached clean input exhaustion; no original length field exists | stage 2 unknown: terminal_plain_or_unknown: no further pack/compress magic detected
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/legacy_encoded_originals/legacy_encoded_originals_20260516.zip::model_setup/bethesda_slate/rf8904e/rep.turnpen.Z,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model,model_setup/bethesda_slate/rf8904e/rep.turnpen.Z,.Z,unix_compress_lzw,1,/Users/dlev2617/Documents/Code/Agents/tools/legacy-z-decoder/decode_legacy_z.py,internal_compress_lzw,complete,,473,yes,275,424ef13a7674ed86e2b48d2752faaccd4ab3421ff971eaab4491dd949677ab13,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1997-03-a-windowed-transportation-planning-model/data/decoded_model_outputs/rf8904e/rep.turnpen,data/decoded_model_outputs/rf8904e/rep.turnpen,68c21f83aaa5d53517d19f1b96fb450a08a5fd52ecac7f14aa85bfa9b4569a2d,stage 1 unix_compress_lzw: complete: compress stream reached clean input exhaustion; no original length field exists | stage 2 unknown: terminal_plain_or_unknown: no further pack/compress magic detected
